transaction_id,customer_id,transaction_datetime,amount,merchant_category,transaction_type,channel,card_present,is_international,device_trust_score,ip_risk_score,account_age_days,txn_count_24h,avg_amount_30d,time_since_last_txn_sec,same_device_as_last,device_id,is_fraud
T0000313,100806,2024-06-27 14:13:16,207.76,online_services,atm,in_person,0,0,0.412,58,453,0,66.52,1332,1,D88942299,0
T0000400,100538,2024-07-15 05:08:19,114.92,travel,pos,ivr,1,0,0.664,73,1018,1,215.09,27846,1,D69415022,0
T0000035,100974,2025-09-11 20:11:32,49.32,electronics,online,mobile,1,0,0.672,19,107,5,319.72,3690,0,D34567603,0
T0000229,100579,2024-10-10 03:09:48,179.71,restaurants,online,in_person,1,0,0.336,19,1015,2,1.0,3263,1,D84233187,0
T0000205,100157,2024-12-25 05:15:44,274.3,grocery,online,in_person,1,0,0.667,2,765,0,339.36,2831,0,D83969973,0
T0000937,100223,2024-02-22 13:22:45,82.57,travel,pos,ivr,1,1,0.822,4,170,1,130.71,8673,1,D73552015,0
T0000277,100260,2024-01-25 21:00:52,180.49,entertainment,transfer,mobile,1,0,0.216,28,873,3,121.15,10504,1,D22828388,0
T0000851,100981,2024-05-04 14:39:24,122.94,utilities,pos,in_person,1,0,0.661,44,1504,3,1.0,7176,1,D43280148,0
T0000123,100409,2025-11-27 07:46:25,50.01,restaurants,pos,in_person,0,0,0.305,29,734,2,306.92,3540,1,D41337695,0
T0000607,100916,2025-12-25 13:51:00,261.57,restaurants,online,in_person,0,0,0.425,45,1174,1,206.34,3531,1,D65033446,0
T0000926,100832,2024-02-14 09:29:36,342.95,gas,pos,in_person,1,1,0.912,47,719,1,312.72,403,1,D24678959,0
T0000080,100814,2025-05-01 06:41:58,96.72,gas,pos,in_person,1,0,0.825,5,1215,2,114.11,10301,0,D35933699,0
T0000120,100054,2024-09-14 11:11:48,73.01,electronics,online,web,1,0,0.428,13,780,2,59.73,13437,0,D25876188,0
T0000925,100833,2024-04-25 21:06:28,1160.85,gas,pos,in_person,1,0,0.868,0,1109,3,22.39,10440,1,D52607265,0
T0000285,100918,2025-02-12 13:38:21,271.68,electronics,online,in_person,1,0,0.77,6,857,2,237.06,1060,1,D66469836,0
T0000314,100008,2024-04-28 21:09:05,243.9,restaurants,pos,mobile,0,0,0.619,29,1243,2,159.25,2584,0,D25572583,0
T0000525,100989,2025-05-05 18:04:40,178.67,online_services,online,in_person,1,0,0.619,29,503,0,45.17,976,1,D24871342,0
T0000569,100237,2025-08-28 23:44:31,270.9,online_services,online,in_person,1,0,0.587,49,2406,3,208.35,2306,0,D91747229,0
T0000853,100132,2024-08-14 02:41:50,20.0,gas,online,ivr,1,0,0.466,35,267,1,340.25,279,1,D50897688,0
T0000294,100125,2024-08-08 11:03:13,74.41,gas,pos,in_person,1,0,0.823,49,1988,4,102.02,3928,1,D90322032,0
T0000659,100054,2025-11-27 15:41:03,685.84,restaurants,pos,in_person,1,0,0.64,34,317,1,164.64,96,0,D50662371,1
T0000016,100813,2024-04-12 15:51:46,152.0,gas,pos,in_person,1,0,0.927,39,536,3,71.22,3300,1,D26116193,0
T0000920,100377,2024-07-07 00:34:26,30.93,restaurants,online,web,1,0,0.245,47,608,2,307.16,5796,0,D82243500,0
T0000315,100115,2024-07-02 19:33:11,217.26,restaurants,online,mobile,1,0,0.418,66,563,3,97.22,1106,1,D85088159,0
T0000401,100776,2025-01-30 17:35:40,26.36,travel,atm,in_person,1,0,0.236,43,277,3,22.99,2341,1,D37926797,0
T0000905,100850,2025-11-26 22:29:12,170.14,restaurants,online,mobile,1,0,0.909,59,1256,1,103.11,1271,1,D92826641,0
T0000983,100414,2024-01-26 00:38:14,206.06,grocery,atm,in_person,1,0,0.76,48,537,3,327.01,7142,0,D75882531,0
T0000505,100941,2024-12-28 07:49:53,226.41,restaurants,pos,in_person,1,0,0.498,21,537,0,108.93,13944,1,D54613585,0
T0000350,100300,2025-05-13 12:07:30,280.71,online_services,online,in_person,1,1,0.206,19,71,1,289.57,3748,1,D39440814,0
T0000427,100707,2024-03-05 18:13:22,154.26,entertainment,online,in_person,1,0,0.639,33,78,1,53.19,6412,0,D72199890,0
T0000476,100125,2024-11-09 20:07:04,529.57,utilities,atm,mobile,1,0,0.937,65,3079,3,1.0,3440,1,D74501107,0
T0000429,100525,2024-01-30 06:12:34,46.28,restaurants,atm,in_person,1,0,0.525,25,1214,4,127.97,18250,0,D28715796,0
T0000873,100981,2024-10-17 15:00:09,669.7,utilities,online,web,0,0,0.766,26,75,0,82.37,86,1,D56780065,1
T0000599,100733,2025-05-29 23:11:17,822.55,utilities,pos,in_person,0,0,0.631,58,300,4,1.0,388,1,D26924494,0
T0000270,100838,2025-06-23 07:55:28,193.6,restaurants,online,mobile,1,1,0.477,73,1025,2,146.78,11797,1,D29334922,0
T0000112,100808,2024-02-02 20:26:08,95.02,utilities,atm,in_person,1,0,0.802,40,243,4,113.71,3267,1,D14130410,0
T0000923,100197,2024-11-02 21:12:40,182.09,entertainment,transfer,in_person,1,0,0.313,37,3650,2,20.09,901,1,D68800377,0
T0000021,100520,2025-09-13 07:23:31,592.01,healthcare,atm,web,1,0,0.537,58,1663,1,126.31,2264,1,D57585714,0
T0000941,100376,2024-05-22 10:42:38,160.96,restaurants,pos,in_person,1,0,0.911,36,727,1,75.91,1386,0,D23929663,0
T0000890,100287,2024-05-07 02:13:40,475.03,gas,online,in_person,1,0,0.945,91,2338,1,294.0,3293,0,D62889025,0
T0000129,100559,2025-09-08 18:34:54,198.05,online_services,online,in_person,0,0,0.567,76,716,3,1.0,548,1,D41901312,0
T0000536,100066,2025-12-04 13:30:04,32.66,healthcare,atm,web,1,0,0.84,40,258,0,55.79,3165,1,D64890573,0
T0000358,100297,2024-10-01 16:36:07,157.57,restaurants,atm,mobile,1,0,0.844,46,355,1,99.11,727,1,D15852855,0
T0000540,100312,2025-09-25 09:46:36,315.66,restaurants,pos,in_person,1,0,0.384,22,332,3,247.83,763,1,D40538565,0
T0000484,100467,2025-11-25 23:56:55,54.71,gas,atm,mobile,0,0,0.49,27,2194,5,156.37,18666,1,D19109206,0
T0000757,100090,2025-11-08 02:57:34,109.84,restaurants,atm,in_person,1,1,0.807,21,1047,2,12.36,2834,1,D94550376,0
T0000298,100723,2025-06-26 18:15:05,154.32,restaurants,pos,mobile,0,0,0.667,35,3133,5,86.47,1365,1,D87498939,0
T0000142,100187,2025-12-18 16:19:46,68.78,online_services,online,in_person,1,0,0.347,51,22,2,221.17,8677,1,D15698792,0
T0000833,100857,2024-05-10 05:30:55,145.67,gas,atm,in_person,1,0,0.648,41,642,1,174.95,1417,0,D42164649,0
T0000663,100174,2024-07-06 05:26:48,20.67,online_services,atm,in_person,1,0,0.933,20,377,1,225.58,3981,1,D47921481,0
T0000917,100455,2025-02-11 12:31:07,164.85,grocery,pos,web,1,0,0.89,54,1808,3,134.69,3688,0,D28566064,0
T0000618,100487,2025-03-14 08:21:06,124.11,restaurants,online,in_person,1,0,0.829,19,1136,1,51.36,6493,0,D73972111,0
T0000932,100970,2024-03-25 21:17:06,157.71,restaurants,online,in_person,1,0,0.38,17,78,3,255.04,1858,1,D77330128,0
T0000842,100057,2025-10-21 16:52:42,127.02,grocery,pos,in_person,0,0,0.944,23,231,1,170.88,3954,1,D25116564,0
T0000996,100806,2025-10-02 02:56:46,247.81,grocery,pos,in_person,1,0,0.804,32,3650,2,92.06,1057,0,D43394161,0
T0000504,100852,2025-05-15 09:37:37,173.85,travel,atm,mobile,1,0,0.447,16,69,0,1.0,4055,1,D51069269,0
T0000772,100611,2024-12-14 15:00:45,130.06,gas,pos,ivr,0,0,0.224,36,1333,2,306.75,6276,1,D28243683,0
T0000529,100644,2025-05-24 05:28:31,153.83,grocery,pos,web,1,0,0.576,35,3650,1,156.41,1428,0,D68220795,0
T0000145,100363,2024-10-31 08:22:26,679.02,grocery,online,mobile,1,0,0.495,37,1566,0,12.58,3889,1,D88730304,0
T0000070,100699,2025-08-06 00:30:00,978.93,grocery,atm,mobile,1,0,0.337,20,3537,2,1.0,54,0,D67870941,1
T0000191,100425,2025-01-21 12:48:32,546.34,healthcare,atm,in_person,0,0,0.387,32,179,0,80.4,2154,1,D28478835,0
T0000362,100626,2025-08-31 14:12:01,221.9,healthcare,pos,mobile,1,0,0.571,44,789,2,83.64,1232,1,D57898235,0
T0000360,100997,2025-12-23 12:48:52,41.4,online_services,online,mobile,1,0,0.277,37,1006,0,1.0,2775,0,D59092802,0
T0000227,100760,2025-09-12 01:54:07,1081.92,restaurants,online,web,1,1,0.65,42,3650,5,72.88,2442,1,D94666013,0
T0000457,100894,2024-09-03 23:05:45,156.45,electronics,online,in_person,1,0,0.644,66,338,3,77.91,480,1,D74734671,0
T0000542,100473,2025-10-07 04:35:23,367.95,online_services,online,in_person,1,0,0.825,54,945,5,80.35,9339,0,D34063852,0
T0000478,100248,2024-02-03 10:49:16,77.67,gas,atm,web,0,0,0.241,43,288,3,94.83,2388,0,D16671419,0
T0000784,100634,2025-03-16 18:47:28,102.87,utilities,online,ivr,1,0,0.787,65,599,4,114.24,2793,1,D88650967,0
T0000419,100830,2025-09-24 03:44:12,79.45,utilities,transfer,web,1,0,0.23,6,291,3,66.27,6362,1,D23485545,0
T0000634,100494,2024-07-21 23:05:15,233.31,grocery,atm,in_person,1,0,0.3,54,1326,1,1.0,12452,0,D24233792,0
T0000519,100263,2024-05-02 20:05:06,47.56,grocery,online,in_person,1,0,0.274,63,3027,1,154.52,3745,0,D13284261,0
T0000942,100479,2025-11-12 16:09:55,121.6,electronics,pos,in_person,0,0,0.903,26,171,0,30.0,12391,0,D36925802,0
T0000985,100430,2024-12-30 13:15:40,83.68,restaurants,pos,in_person,0,0,0.887,65,1154,3,172.08,2404,1,D66714683,0
T0000628,100135,2024-12-20 08:12:51,96.12,utilities,online,web,1,0,0.322,0,1329,0,189.76,14445,1,D21898806,0
T0000271,100385,2025-02-16 20:23:28,163.38,online_services,pos,in_person,0,0,0.802,0,688,4,154.85,5447,0,D98076547,0
T0000012,100461,2025-03-06 04:45:27,133.0,online_services,online,in_person,1,0,0.448,34,1620,3,49.88,3853,1,D24572181,0
T0000590,100587,2024-12-22 21:51:55,70.03,gas,transfer,in_person,1,1,0.306,49,2699,0,199.87,1995,1,D17794522,0
T0000779,100172,2025-05-10 23:39:18,651.65,utilities,pos,web,1,0,0.424,37,521,0,170.37,4925,1,D81512411,0
T0000383,100727,2025-01-30 10:35:11,75.77,restaurants,transfer,in_person,0,1,0.357,33,500,3,48.87,2409,1,D66557790,0
T0000215,100369,2024-11-06 23:21:53,45.67,grocery,online,ivr,1,1,0.24,31,139,2,249.97,4888,1,D61617243,0
T0000269,100632,2025-08-01 10:58:10,64.11,entertainment,online,in_person,1,1,0.479,36,189,3,1.0,3137,0,D68192954,0
T0000813,100464,2025-03-15 11:53:48,81.13,electronics,pos,web,1,0,0.475,38,208,1,175.89,11020,1,D99829494,0
T0000877,100024,2025-12-18 08:04:16,339.26,grocery,pos,in_person,1,0,0.706,0,189,0,28.64,86,1,D81918580,0
T0000250,100451,2024-07-02 22:23:39,138.91,electronics,pos,in_person,0,0,0.66,15,315,1,1.0,751,1,D64306382,0
T0000869,100188,2024-01-23 05:42:30,679.01,grocery,transfer,in_person,0,0,0.532,10,1221,3,164.96,3766,1,D94665693,0
T0000339,100040,2025-02-08 16:48:39,167.25,electronics,online,in_person,1,0,0.599,0,462,2,268.82,3428,1,D19762965,0
T0000405,100586,2025-11-29 15:14:23,877.27,gas,transfer,web,0,0,0.213,0,282,3,380.1,865,1,D52429062,1
T0000704,100087,2025-03-30 03:25:50,67.89,entertainment,transfer,in_person,1,0,0.572,52,157,2,301.05,4106,0,D92217302,0
T0000002,100922,2024-03-21 18:21:10,273.24,restaurants,pos,mobile,1,0,0.653,17,315,2,211.8,2190,0,D91585849,0
T0000289,100826,2025-05-29 00:10:16,225.09,grocery,transfer,in_person,0,0,0.244,5,21,0,52.35,2968,0,D35090965,0
T0000589,100743,2025-04-30 03:18:30,113.46,gas,pos,in_person,1,0,0.407,54,392,1,1.0,2161,1,D30727133,0
T0000018,100137,2025-02-21 18:42:16,251.39,grocery,pos,in_person,1,0,0.802,1,958,5,70.47,16592,1,D60242254,0
T0000899,100387,2025-04-13 03:49:16,180.2,restaurants,online,mobile,0,0,0.591,61,1582,2,95.8,1508,1,D96280992,0
T0000327,100995,2024-08-11 03:41:55,152.64,utilities,online,in_person,1,0,0.763,51,224,2,257.07,5100,1,D46106566,0
T0000432,100658,2024-10-29 07:08:01,136.82,entertainment,pos,web,1,0,0.645,13,510,3,162.18,2278,0,D75575865,0
T0000126,100119,2025-01-16 11:21:36,74.21,grocery,pos,in_person,1,0,0.811,9,42,2,177.23,8394,1,D44085424,0
T0000395,100417,2025-03-13 05:47:40,187.04,electronics,pos,in_person,1,0,0.594,15,488,1,1.0,18574,0,D73620083,0
T0000337,100037,2024-01-18 16:20:42,105.42,online_services,pos,mobile,1,0,0.525,38,3650,1,153.5,9388,1,D85503738,0
T0000565,100277,2024-08-13 10:58:19,20.3,online_services,pos,in_person,1,0,0.213,25,918,4,237.26,5733,0,D41991468,0
T0000646,100469,2025-07-12 04:56:07,67.26,gas,pos,in_person,1,0,0.424,0,425,3,142.13,1966,1,D22542022,0
T0000615,100735,2024-05-15 13:21:17,55.56,grocery,pos,web,1,0,0.52,1,969,4,167.5,2732,1,D50859129,0
T0000135,100231,2024-02-22 13:22:56,289.39,restaurants,online,in_person,1,0,0.894,44,91,0,203.44,1154,0,D21769728,0
T0000731,100554,2025-02-22 16:27:52,260.99,grocery,transfer,in_person,1,0,0.318,46,708,0,138.84,2082,1,D57405878,0
T0000309,100870,2025-03-28 09:51:45,608.27,restaurants,online,web,0,1,0.829,23,172,3,1.0,13722,0,D29246344,0
T0000252,100197,2025-04-14 22:01:42,689.31,grocery,transfer,web,1,1,0.258,12,795,0,27.61,1610,1,D27947611,0
T0000251,100367,2025-06-29 01:36:05,135.13,gas,online,web,1,1,0.458,53,787,1,91.15,2827,1,D33484454,0
T0000868,100842,2024-03-02 21:47:12,40.11,gas,online,web,1,0,0.291,54,1290,2,72.97,947,1,D61999713,0
T0000303,100665,2024-07-20 23:02:53,53.39,restaurants,pos,in_person,0,0,0.212,20,3338,2,210.98,2229,1,D76450893,0
T0000106,100269,2024-08-24 20:15:03,76.12,gas,online,web,1,0,0.521,42,805,1,1.0,7962,1,D31298590,0
T0000747,100694,2025-04-26 19:32:35,37.96,electronics,atm,mobile,0,1,0.582,18,1572,1,1.0,566,1,D88125785,0
T0000814,100355,2025-01-22 01:52:54,118.75,restaurants,pos,mobile,0,1,0.693,20,770,2,243.57,5368,1,D26784865,0
T0000324,100968,2024-04-22 06:37:35,84.09,travel,pos,in_person,1,0,0.829,29,1856,2,149.44,855,1,D53390748,0
T0000284,100398,2025-05-05 07:02:44,962.0,electronics,transfer,ivr,1,0,0.255,50,1018,3,92.47,3420,1,D13551644,0
T0000708,100580,2024-06-22 08:38:16,163.11,utilities,pos,web,1,0,0.633,48,1646,2,1.0,736,0,D42239628,0
T0000894,100021,2025-10-21 11:53:18,69.86,restaurants,online,in_person,1,0,0.37,29,712,1,1.0,984,0,D81382890,0
T0000311,100824,2025-11-11 00:48:41,91.17,online_services,online,web,1,0,0.58,60,1147,2,92.94,3810,0,D11041789,0
T0000572,100760,2024-09-10 19:28:29,27.59,utilities,atm,in_person,0,0,0.496,24,2362,4,69.62,1933,1,D18975784,0
T0000523,100675,2024-12-11 15:16:57,163.86,healthcare,online,in_person,0,0,0.237,45,3529,4,264.04,1681,0,D70119455,0
T0000874,100483,2024-06-19 11:10:46,299.98,grocery,online,in_person,0,0,0.935,52,652,1,186.91,19436,0,D22070056,0
T0000068,100766,2025-05-29 03:44:40,151.77,grocery,online,in_person,1,0,0.502,51,1895,2,50.1,3766,1,D72945128,0
T0000871,100855,2025-11-08 22:24:28,107.63,entertainment,transfer,in_person,0,0,0.462,24,1657,5,1.0,5152,1,D99408440,0
T0000180,100353,2025-03-26 15:34:12,239.42,utilities,transfer,in_person,0,1,0.491,35,1267,3,281.77,713,1,D28081738,0
T0000392,100922,2025-06-03 13:54:46,35.04,travel,online,ivr,1,0,0.782,52,191,3,290.08,700,1,D93256384,0
T0000092,100053,2025-08-06 11:54:49,79.85,online_services,atm,web,1,1,0.503,22,1612,2,401.01,1588,1,D57523125,0
T0000780,100607,2024-05-29 03:06:28,372.25,entertainment,pos,in_person,1,0,0.937,9,811,2,180.05,504,1,D26207909,0
T0000901,100964,2024-10-24 23:18:02,99.32,restaurants,online,mobile,0,0,0.933,61,405,0,247.93,952,1,D81201893,0
T0000320,100193,2024-06-17 09:30:43,91.49,travel,transfer,mobile,0,0,0.304,26,1486,4,356.47,753,0,D12022997,1
T0000190,100695,2025-10-09 19:51:19,73.93,online_services,online,mobile,0,0,0.432,37,920,1,198.01,2400,1,D14627408,0
T0000548,100894,2024-08-19 23:24:44,299.28,utilities,pos,in_person,1,0,0.793,1,1229,2,60.17,12253,1,D58669604,0
T0000221,100173,2024-11-13 21:04:53,153.56,gas,online,in_person,1,0,0.252,75,11,3,168.64,3604,1,D94402921,0
T0000512,100513,2024-01-20 22:42:29,41.25,entertainment,pos,mobile,0,0,0.462,21,532,2,212.75,4817,1,D90769136,0
T0000665,100049,2024-11-23 18:03:57,823.08,grocery,transfer,web,1,0,0.654,40,1305,1,137.29,2379,1,D44437797,0
T0000743,100984,2025-03-11 00:19:30,321.89,restaurants,online,in_person,1,1,0.278,68,548,1,191.32,6526,0,D56395118,0
T0000632,100307,2024-11-05 00:16:57,358.96,electronics,online,mobile,1,0,0.507,16,519,4,99.3,914,0,D15786646,1
T0000758,100036,2025-08-13 22:05:08,1618.53,entertainment,pos,in_person,1,0,0.531,66,332,2,178.64,1715,1,D11265338,0
T0000908,100122,2025-09-19 01:40:36,125.22,restaurants,pos,in_person,1,0,0.638,22,3650,4,247.2,262,1,D15231337,0
T0000391,100189,2025-06-11 05:28:21,108.86,travel,transfer,web,0,0,0.883,45,702,1,77.61,7019,1,D68325817,0
T0000827,100490,2024-08-28 15:38:59,38.15,grocery,pos,mobile,0,0,0.853,11,570,3,300.07,5334,1,D73189984,0
T0000352,100316,2025-07-17 21:40:11,99.9,gas,online,in_person,1,0,0.306,61,32,1,227.24,3781,0,D74329054,0
T0000355,100058,2024-02-08 05:53:29,93.91,travel,pos,web,1,0,0.766,38,1518,2,141.5,107,1,D92796482,0
T0000442,100498,2025-08-17 21:55:55,176.82,restaurants,pos,mobile,1,1,0.943,35,201,2,1.0,206,1,D97812004,0
T0000564,100894,2024-03-04 14:17:12,304.76,grocery,atm,in_person,1,0,0.843,0,1146,4,216.98,1093,0,D96311947,0
T0000755,100005,2024-08-26 15:44:31,281.8,online_services,pos,in_person,1,0,0.307,15,434,0,145.99,1167,0,D24369423,0
T0000428,100176,2025-12-08 08:06:18,131.8,entertainment,online,mobile,1,0,0.566,56,448,2,197.15,16655,1,D38867748,0
T0000276,100394,2025-01-23 11:04:55,144.85,restaurants,pos,in_person,1,0,0.577,36,1335,2,1.0,664,1,D39090418,0
T0000910,100682,2025-11-15 04:21:50,203.15,entertainment,transfer,in_person,0,0,0.608,15,2,2,230.45,1609,1,D80187250,0
T0000514,100431,2025-06-11 21:10:24,113.82,grocery,online,mobile,1,0,0.259,25,489,1,33.21,2782,0,D52105123,0
T0000224,100761,2025-06-17 14:54:53,510.35,gas,online,in_person,1,0,0.626,35,2058,2,296.15,875,1,D40722940,0
T0000187,100473,2024-02-18 04:27:58,345.23,electronics,online,in_person,0,1,0.678,11,359,3,220.83,6440,1,D33923099,0
T0000490,100399,2024-05-11 08:56:08,46.45,electronics,online,in_person,1,0,0.826,87,969,1,114.28,2382,1,D93767697,0
T0000748,100807,2025-08-25 19:02:55,80.58,grocery,online,in_person,1,0,0.268,63,1046,3,62.11,15319,1,D52550057,0
T0000612,100246,2025-04-11 14:32:12,68.18,restaurants,transfer,web,1,0,0.378,33,2250,4,32.49,6542,1,D69386156,0
T0000773,100358,2025-04-30 11:34:35,186.11,online_services,pos,in_person,1,0,0.95,21,279,0,135.31,7901,0,D87526767,0
T0000546,100638,2024-08-08 19:11:11,65.61,grocery,pos,in_person,1,1,0.499,23,3182,1,43.87,500,1,D84595365,0
T0000393,100754,2025-10-30 20:07:12,163.51,travel,pos,in_person,0,0,0.676,29,593,4,195.06,2265,1,D96847910,0
T0000515,100862,2024-02-06 16:43:44,175.84,utilities,atm,in_person,0,0,0.433,15,2093,3,24.74,8831,1,D53132411,0
T0000025,100865,2025-09-09 18:59:51,22.87,online_services,transfer,in_person,1,1,0.422,83,3650,3,72.33,1051,1,D32712117,0
T0000872,100931,2024-04-03 03:21:47,136.93,utilities,atm,in_person,0,0,0.36,46,435,5,146.54,2900,0,D26456100,0
T0000953,100488,2025-01-08 20:31:39,84.43,restaurants,pos,in_person,1,0,0.895,45,552,2,190.16,3368,1,D32458286,0
T0000638,100768,2025-02-02 08:41:52,88.24,online_services,online,in_person,1,0,0.653,48,419,2,34.11,3620,1,D43049921,0
T0000684,100659,2025-09-07 22:14:01,80.65,restaurants,pos,mobile,1,0,0.783,42,735,5,16.47,5528,0,D50665187,0
T0000584,100479,2025-02-18 05:28:35,140.17,restaurants,atm,web,0,1,0.288,50,1495,2,68.04,2728,1,D16070862,0
T0000222,100567,2025-06-16 16:16:45,843.75,entertainment,online,mobile,1,0,0.284,0,1030,1,203.05,2392,1,D86687858,0
T0000424,100991,2025-09-21 03:34:17,59.26,entertainment,pos,mobile,1,0,0.861,11,1199,3,311.32,1748,1,D16461828,0
T0000530,100340,2025-12-11 22:24:07,187.52,healthcare,transfer,mobile,0,0,0.215,43,2666,2,109.96,4361,0,D29206193,0
T0000164,100120,2024-03-14 15:33:18,321.17,gas,pos,in_person,0,0,0.569,27,79,2,1.0,1075,0,D24835741,0
T0000463,100436,2025-12-22 01:58:27,993.68,restaurants,pos,in_person,1,0,0.231,0,164,4,297.27,3585,1,D29037301,0
T0000189,100781,2025-03-20 02:24:40,50.11,restaurants,transfer,in_person,0,0,0.772,34,737,0,231.25,10062,1,D31506574,0
T0000440,100154,2025-06-14 03:06:31,43.77,utilities,pos,in_person,1,1,0.26,50,483,1,196.45,307,1,D99624057,0
T0000600,100145,2024-05-22 00:28:28,108.28,entertainment,pos,mobile,0,0,0.549,56,1802,0,1.0,1953,0,D75145600,0
T0000028,100936,2025-08-08 09:04:45,158.08,online_services,pos,web,1,0,0.481,17,1700,0,11.53,6066,1,D39352305,0
T0000245,100436,2024-03-09 01:31:56,168.51,electronics,pos,in_person,1,0,0.383,0,1274,2,146.76,7261,0,D16784104,0
T0000295,100688,2024-10-24 18:24:57,123.58,healthcare,online,in_person,0,0,0.702,48,3650,0,12.19,596,0,D93266318,0
T0000177,100070,2025-03-19 14:23:09,269.53,travel,transfer,in_person,0,0,0.216,41,3650,3,244.22,7,1,D64214723,1
T0000422,100209,2024-12-15 06:26:58,18.39,travel,pos,web,1,0,0.459,26,42,3,143.07,3729,1,D81399395,0
T0000148,100554,2024-08-25 15:29:24,45.93,restaurants,online,in_person,0,0,0.824,47,2133,2,289.0,421,1,D60073186,0
T0000089,100079,2024-04-03 10:41:23,12.36,electronics,atm,in_person,1,1,0.646,14,990,2,238.45,854,0,D47624205,0
T0000732,100323,2024-05-19 01:25:25,149.82,restaurants,online,in_person,0,1,0.653,32,788,2,239.26,1702,1,D62284630,0
T0000742,100298,2024-04-21 13:24:20,50.97,utilities,pos,ivr,0,1,0.567,0,367,3,10.11,450,0,D77929927,0
T0000037,100893,2025-07-30 21:54:45,29.08,entertainment,transfer,in_person,1,0,0.607,40,868,2,312.19,721,1,D46037378,0
T0000095,100745,2024-03-06 03:57:39,219.25,restaurants,online,web,1,0,0.287,20,862,1,144.68,4466,0,D38813242,0
T0000455,100886,2025-05-26 20:23:33,380.61,restaurants,pos,ivr,0,0,0.799,63,1216,2,12.87,2476,0,D98409264,0
T0000039,100850,2025-07-11 05:02:37,201.16,grocery,pos,mobile,1,0,0.344,0,1570,1,38.56,955,1,D75743620,0
T0000332,100750,2025-02-07 16:12:45,189.67,grocery,online,mobile,1,0,0.317,44,3650,4,171.21,4389,1,D10777773,0
