train_pct,test_size,run,strategy,train_fraud_rate,test_fraud_rate,train_fraud_count,test_fraud_count,train_accuracy,test_accuracy
80,0.2,1,regular,0.05,0.05,40,10,0.93875,0.955
80,0.2,1,stratified,0.05,0.05,40,10,0.93375,0.92
80,0.2,2,regular,0.0575,0.02,46,4,0.92875,0.935
80,0.2,2,stratified,0.05,0.05,40,10,0.90625,0.92
80,0.2,3,regular,0.0475,0.06,38,12,0.9125,0.945
80,0.2,3,stratified,0.05,0.05,40,10,0.9475,0.925
80,0.2,4,regular,0.05,0.05,40,10,0.91625,0.88
80,0.2,4,stratified,0.05,0.05,40,10,0.91875,0.96
80,0.2,5,regular,0.05125,0.045,41,9,0.92625,0.865
80,0.2,5,stratified,0.05,0.05,40,10,0.93875,0.96
80,0.2,6,regular,0.04875,0.055,39,11,0.935,0.895
80,0.2,6,stratified,0.05,0.05,40,10,0.92625,0.915
80,0.2,7,regular,0.05125,0.045,41,9,0.92,0.94
80,0.2,7,stratified,0.05,0.05,40,10,0.935,0.94
80,0.2,8,regular,0.0475,0.06,38,12,0.92625,0.95
80,0.2,8,stratified,0.05,0.05,40,10,0.93,0.925
80,0.2,9,regular,0.04625,0.065,37,13,0.93,0.92
80,0.2,9,stratified,0.05,0.05,40,10,0.92375,0.915
90,0.1,0,regular,0.052222222222222225,0.03,47,3,0.9255555555555556,0.91
90,0.1,0,stratified,0.05,0.05,45,5,0.9188888888888889,0.96
90,0.1,1,regular,0.04888888888888889,0.06,44,6,0.9255555555555556,0.95
90,0.1,1,stratified,0.05,0.05,45,5,0.9344444444444444,0.9
90,0.1,2,regular,0.05444444444444444,0.01,49,1,0.92,0.92
90,0.1,2,stratified,0.05,0.05,45,5,0.9244444444444444,0.97
90,0.1,3,regular,0.04888888888888889,0.06,44,6,0.9222222222222223,0.98
90,0.1,3,stratified,0.05,0.05,45,5,0.93,0.93
90,0.1,4,regular,0.052222222222222225,0.03,47,3,0.9188888888888889,0.92
90,0.1,4,stratified,0.05,0.05,45,5,0.9333333333333333,0.97
90,0.1,5,regular,0.05,0.05,45,5,0.9177777777777778,0.88
90,0.1,5,stratified,0.05,0.05,45,5,0.93,0.95
90,0.1,6,regular,0.04666666666666667,0.08,42,8,0.9466666666666667,0.89
90,0.1,6,stratified,0.05,0.05,45,5,0.93,0.91
90,0.1,7,regular,0.05333333333333334,0.02,48,2,0.9277777777777778,0.94
90,0.1,7,stratified,0.05,0.05,45,5,0.9266666666666666,0.95
90,0.1,8,regular,0.05,0.05,45,5,0.9244444444444444,0.95
90,0.1,8,stratified,0.05,0.05,45,5,0.9344444444444444,0.91
90,0.1,9,regular,0.04777777777777778,0.07,43,7,0.9344444444444444,0.88
90,0.1,9,stratified,0.05,0.05,45,5,0.93,0.92
